stop_id,total_trips,stop_name,stop_lat,stop_lon,nearest_poi_name,nearest_poi_type,nearest_poi_distance_m
5834,3,Akurdi Police Chowky,18.6506265054074,73.7670933461803,Anand Hospital,hospital,445.4
4860,3,Symbiosis College Gahunje Road,18.6600622771858,73.7180002230945,Shivsai Medical & General store,hospital,431.6
4861,3,Mangalam Sales Office  Gahunje Road,18.6579543787858,73.7232518831541,Shivsai Medical & General store,hospital,183.6
4866,3,Mangalam Sales Office  Gahunje Road,18.6578679680157,73.7231741175012,Shivsai Medical & General store,hospital,176.4
4867,3,Symbiosis College Gahunje Road,18.66,73.718102,Shivsai Medical & General store,hospital,418.9
7517,3,Apax Hospital,18.8521,73.888802,Sushrut Hospital,hospital,215.1
7518,3,Siddheswar Nagar,18.849878,73.890472,Sushrut Hospital,hospital,398.3
9235,3,Yerawada,18.5452571214276,73.8866554888687,Kataria Hospital,hospital,62.8
3525,3,Pune Station St. Helena'S Stand,18.5243,73.871803,David Sassoon Hospital,hospital,175.2
228,2,Rajaram Pul Corner / Warje Pul,18.4799817982758,73.8042285536596,Chaitanya Centre For Psychological Help,hospital,53.6
8779,2,Warje Canal,18.4779,73.801498,Chaitanya Centre For Psychological Help,hospital,352.5
6526,2,Akurdi Chowk,18.6492,73.785202,PCMC-Akurdi Hospital,hospital,346.4
6959,2,Kanda Lasun Sanshodhan Kendra,18.843771,73.881882,"Rural Hospital, Chandoli",hospital,403.7
6954,2,Zilla Parishad Shal Thigalsthal,18.858646,73.889206,Atharva Hospital,hospital,399.4
776,2,Datta Mandir Srushti Chowk,18.598820681579,73.820022046566,Khare Dental Clinic,hospital,284.9
775,2,H Kshetriya Karyalay,18.6003,73.821701,Khare Dental Clinic,hospital,418.4
774,2,Smashan Bhumi Kasarwadi,18.6022,73.822304,Kand Clinic,hospital,263.0
773,2,Sarita Sargam Society,18.6045,73.821701,Kand Clinic,hospital,319.4
864,2,Shitalbaug,18.617701,73.843376,Saidham Hospital,hospital,204.3
