trips
300
297
224
206
198
179
174
171
170
165
162
160
159
159
158
155
155
153
143
141
140
136
134
132
131
130
130
127
126
124
119
119
116
114
113
113
108
107
107
106
105
104
102
101
100
98
97
97
97
96
96
94
93
91
91
90
89
89
87
84
84
84
83
83
81
81
80
80
79
79
79
78
77
76
75
75
75
75
74
72
72
72
71
69
68
67
67
67
66
64
64
63
63
62
62
58
58
57
56
56
56
55
54
54
53
52
51
51
50
49
49
48
48
48
48
47
47
46
46
46
45
44
44
43
42
42
42
42
41
40
40
40
40
40
39
38
38
37
37
36
36
36
36
36
35
35
34
34
33
33
33
33
32
32
31
31
30
30
30
30
30
29
29
28
28
27
27
27
26
25
25
25
23
22
22
21
21
21
20
20
20
19
19
19
19
19
19
19
19
18
18
17
17
16
16
16
16
16
16
16
16
16
15
15
15
15
15
15
15
14
14
14
14
14
14
14
14
13
13
12
12
12
12
12
12
12
12
12
12
12
12
12
11
11
11
11
10
10
10
10
10
10
10
10
10
10
9
9
8
8
8
8
8
8
8
8
8
8
8
8
8
8
8
7
7
7
7
7
7
7
7
7
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
6
5
5
5
5
5
5
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
4
3
3
3
3
3
3
3
3
2
2
